Symbol,Company Name,Industry,Market Cap
AIRT,Air T,Air Freight & Logistics,43956550
AIT,Applied Industrial Technologies,Trading Companies & Distributors,4008950852
AIU,Meta Data,Education & Training Services,20265619
AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts ...,1274247891
AIZ,Assurant,Insurance,8547609678
AJG,Arthur J. Gallagher & Company,Insurance,37826823542
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3289089415
AJX,Great Ajax,Mortgage Real Estate Investment Trust...,242271754
AKA,a.k.a. Brands Holding,Internet Retail,266315847
AKAM,Akamai Technologies,IT Services,15405309058
AKAN,Akanda,Drug Manufacturers-Specialty & Generic,29268550
AKBA,Akebia Therapeutics,Biotechnology,74348532
AKIC,Sports Ventures Acquisition,Blank Check / SPAC,291011959
AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1623766521
AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,1715661771
AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts ...,1658595735
AKRO,Akero Therapeutics,Biotechnology,486173903
AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",259667373
AKTX,Akari Therapeutics,Pharmaceuticals,89023800
AKU,Akumin,Diagnostics & Research,56842975
AKUS,Akouos,Biotechnology,100762247
AKYA,Akoya Biosciences,Medical Instruments & Supplies,569106528
AL,Air Lease,Trading Companies & Distributors,4239401389
ALB,Albemarle,Chemicals,28887524530
ALBO,Albireo Pharma,Biotechnology,494399431
ALC,Alcon,Medical Instruments & Supplies,37411413955
ALCC,AltC Acquisition,Blank Check / SPAC,620315009
ALCO,Alico,Food Products,243056702
ALDX,Aldeyra Therapeutics,Biotechnology,420645308
ALE,ALLETE,Electric Utilities,3488240517
ALEC,Alector,Biotechnology,1069202492
ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts ...,1388908031
ALF,"ALFI, Inc.",Software-Infrastructure,23015707
ALG,Alamo Group,Machinery,1606582012
ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,4910857147
ALGN,Align Technology,Health Care Equipment & Supplies,23057700952
ALGS,Aligos Therapeutics,Biotechnology,62501579
ALGT,Allegiant Travel Company,Airlines,2042305316
ALHC,Alignment Healthcare,Health Care Providers & Services,3171214365
ALIM,Alimera Sciences,Pharmaceuticals,50771460
ALIT,Alight,Software-Application,4546858186
ALJJ,ALJ Regional Holdings,IT Services,78032192
ALK,Alaska Air Group,Airlines,5928799143
ALKS,Alkermes,Biotechnology,4282101936
ALKT,Alkami Technology,Software-Application,1358258537
ALL,The Allstate Corporation,Insurance,32134138295
ALLE,Allegion,Building Products,9034138814
ALLG,Allego,Auto Parts,979119360
ALLK,Allakos,Biotechnology,212795119
ALLO,Allogene Therapeutics,Biotechnology,2263135921
ALLR,Allarity Therapeutics,Biotechnology,11668510
ALLT,Allot,Software,208753214
ALLY,Ally Financial,Consumer Finance,10409802334
ALNA,Allena Pharmaceuticals,Biotechnology,13810345
ALNY,Alnylam Pharmaceuticals,Biotechnology,27320545284
ALOR,ALSP Orchid Acquisition I,Blank Check / SPAC,225449304
ALOT,AstroNova,"Technology Hardware, Storage & Periph...",87565373
ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,192352360
ALPN,Alpine Immune Sciences,Biotechnology,266587514
ALPP,Alpine 4 Holdings,Metal Fabrication,177983456
ALR,AlerisLife,Medical Care Facilities,50915900
ALRM,Alarm.com Holdings,Software,3660880537
ALRN,Aileron Therapeutics,Biotechnology,18328202
ALRS,Alerus Financial,Diversified Financial Services,491880045
ALSA,Alpha Star Acquisition,Blank Check / SPAC,146902930
ALSN,Allison Transmission Holdings,Machinery,3685542748
ALT,Altimmune,Biotechnology,555369264
ALTG,Alta Equipment Group,Trading Companies & Distributors,375817331
ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",359269046
ALTR,Altair Engineering,Software,4622488937
ALTU,Altitude Acquisition,Blank Check / SPAC,374962480
ALV,Autoliv,Auto Components,7040331105
ALVO,Alvotech,Drug Manufacturers-Specialty & Generic,1864875007
ALVR,AlloVir,Biotechnology,636088291
ALX,Alexander's,Equity Real Estate Investment Trusts ...,1259406394
ALXO,ALX Oncology Holdings,Biotechnology,469050788
ALYA,Alithya Group,IT Services,229390350
ALZN,Alzamend Neuro,Biotechnology,94336019
AM,Antero Midstream,"Oil, Gas & Consumable Fuels",4650611993
AMAL,Amalgamated Financial,Banks,733966064
AMAM,Ambrx Biopharma,Biotechnology,94927953
AMAO,American Acquisition Opportunity,Blank Check / SPAC,43192032
AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,92758105059
AMBA,Ambarella,Semiconductors & Semiconductor Equipment,3353234596
AMBC,Ambac Financial Group,Insurance,510752477
AMBO,Ambow Education Holding,Diversified Consumer Services,10575512
AMBP,Ardagh Metal Packaging,Packaging & Containers,3877290057
AMC,AMC Entertainment Holdings,Entertainment,12864049198
AMCI,AMCI Acquisition II,Blank Check / SPAC,186000000
AMCR,Amcor,Containers & Packaging,18626835476
AMCX,AMC Networks,Media,1307309694
AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,1.60754E+11
AME,AMETEK,Electrical Equipment,29049652230
AMED,Amedisys,Health Care Providers & Services,4008694024
AMEH,Apollo Medical Holdings,Health Care Providers & Services,2387452533
AMG,Affiliated Managers Group,Capital Markets,5064117332
AMGN,Amgen,Biotechnology,1.31272E+11
AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts ...,14781238524
AMK,AssetMark Financial Holdings,Capital Markets,1495550668
AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,5420713452
AMLX,Amylyx Pharmaceuticals,Biotechnology,1483524055
AMN,AMN Healthcare Services,Health Care Providers & Services,5155079396
AMNB,American National Bankshares,Banks,372479548
AMOT,Allied Motion Technologies,Electrical Equipment,527443682
AMOV,America Movil,Wireless Telecommunication Services,59507139199
AMP,Ameriprise Financial,Capital Markets,29336780350
AMPE,Ampio Pharmaceuticals,Pharmaceuticals,24778427
AMPG,AmpliTech Group,Communication Equipment,23303653
AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1823792992
AMPI,Advanced Merger Partners,Blank Check / SPAC,353265625
AMPL,Amplitude,Software-Application,2079925769
AMPS,Altus Power,Utilities-Renewable,1457564018
AMPY,Amplify Energy,Oil & Gas E&P,227953944
AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",2580841792
AMRC,Ameresco,Construction & Engineering,3618006220
